Title,Handbook 2019 - Course - Computer Science Project - COMP3900
Credit,6 Units of Credit
Prerequisite,"Prerequisite: COMP1531, and COMP2521 or COMP1927, and enrolled in a BSc Computer Science major with completion of 120 uoc."
Course Outline,https://www.engineering.unsw.edu.au/computer-science-engineering
Faculty,http://www.eng.unsw.edu.au
School,http://www.cse.unsw.edu.au/
Offering Terms,"Term 1, Term 2, Term 3"
Campus,Kensington
Indicative contact hours,10
Commonwealth Supported Student,$1170
Domestic Student,$5790
International Student,$5790
